Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
2.907141758E1,1.329235840E0,-2.678080902E0,7.387886810E0
2.908146358E1,6.147715759E-1,-3.338208160E0,3.407064972E0
2.909150958E1,1.980381775E-1,-3.040327606E0,3.467838593E0
2.910155658E1,5.237458649E0,-1.648372192E0,6.792275391E0
2.911160258E1,7.724237366E0,-4.298012238E0,6.975943451E0
2.912164858E1,7.384443970E0,-2.667153625E0,9.114845581E0
2.913169458E1,4.104464722E0,-3.363355865E0,5.923631744E0
2.914174058E1,-1.077758789E-2,-1.815125427E0,3.750600586E0
2.915178658E1,7.870034180E0,-1.433119812E0,7.627688141E0
2.916183258E1,8.150850220E0,-8.339158630E-1,7.362739105E0
2.917187858E1,6.954238586E0,-2.320624237E0,6.189478912E0
2.918192458E1,2.857407990E0,-2.116748199E0,7.545359344E0
2.919197058E1,6.308032379E0,-1.333876190E0,5.442981262E0
2.920201658E1,4.455484772E0,-4.710704041E-1,5.831722870E0
2.921206258E1,4.882995758E0,1.716779938E0,8.309071198E0
2.922210858E1,5.342390442E0,-4.619393921E-1,6.339616699E0
2.923215458E1,5.741610260E0,-3.870351563E0,3.944597168E0
2.924220058E1,4.371060333E0,-4.182003479E0,5.161416779E0
2.925224658E1,1.731599121E0,-2.260449371E0,2.088307343E0
2.926229258E1,3.519032135E0,-1.073567505E0,2.294129333E0
2.927233858E1,6.192322998E0,1.036444702E0,5.634582825E0
2.928238458E1,9.758956146E0,-1.480421448E0,4.561165009E0
2.929243058E1,6.578070831E0,-4.673132172E0,1.903741150E0
2.930247658E1,6.441255341E0,-4.500541077E0,-5.908213806E-1
2.931252258E1,5.081483002E0,-8.443940735E-1,3.524271240E0
2.932256858E1,1.133832184E1,-1.537303162E-1,9.417516174E0
2.933261458E1,9.085506592E0,-1.624721375E0,5.577701111E0
2.934266058E1,6.975943451E0,-1.782642975E0,2.847678223E0
2.935270658E1,1.003573059E1,2.059866486E0,4.153412933E0
2.936275258E1,1.047836014E1,-6.612648926E0,1.608105927E0
2.937279858E1,6.268364868E0,-3.138523407E0,5.053790588E0
2.938284458E1,7.340136108E0,3.334615631E0,1.108564728E1
2.939289058E1,1.014679962E1,-3.703298950E0,3.203787689E0
2.940293658E1,6.107748871E0,-1.457968140E0,1.068927155E0
2.941298258E1,7.757767639E0,2.389181671E0,3.439846802E0
