Time (s),X (rad/s),Y (rad/s),Z (rad/s)
9.545560250E0,1.391912159E-2,-1.095412206E-2,3.662288887E-3
9.555606250E0,1.100664027E-2,-5.469623953E-3,5.758844782E-3
9.565652250E0,1.086788997E-2,-1.299571712E-2,4.177193157E-3
9.575698250E0,1.012082398E-2,-7.445172407E-3,5.280656740E-3
9.585744250E0,9.190848097E-3,-1.549733104E-3,3.704597708E-3
9.595791250E0,5.913272500E-3,-2.077579498E-3,6.443184335E-3
9.605837250E0,5.277043208E-3,-1.080182940E-2,5.352620035E-3
9.615883250E0,6.044226699E-3,-6.801072508E-3,6.305467337E-3
9.625929250E0,5.626643077E-3,-3.522987477E-3,7.595769130E-3
9.635975250E0,2.092413371E-3,-6.943003275E-3,8.984267712E-3
9.646022250E0,2.914797515E-3,-3.711789846E-3,5.264630541E-3
9.656068250E0,5.119431764E-3,-4.496422596E-3,6.229381077E-3
9.666114250E0,2.751349006E-3,-4.825323354E-3,6.608614698E-3
9.676160250E0,2.038130770E-3,2.149669890E-4,4.499448929E-3
9.686206250E0,1.833866350E-3,-2.564574126E-3,2.002735389E-3
9.696253250E0,1.080385409E-3,-1.190940500E-3,6.236573681E-4
9.706299250E0,-1.422720961E-4,-2.794962144E-3,-6.309577730E-4
9.716345250E0,-1.076678280E-3,-1.909069950E-3,-8.771000430E-4
9.726391250E0,-2.472707070E-3,1.193512697E-3,8.193334797E-4
9.736437250E0,-1.332662068E-4,5.735749844E-3,3.586970037E-3
9.746484250E0,-1.660056412E-3,-1.025520172E-2,2.060870174E-4
9.756530250E0,-1.272033900E-3,1.039202046E-2,1.074315049E-2
9.766576250E0,6.258852780E-3,-5.176818930E-3,6.119369529E-3
9.776622250E0,-2.892591059E-3,-4.559064750E-3,5.903281271E-3
9.786668250E0,-5.001815036E-3,3.138802480E-3,5.642823875E-3
9.796714250E0,4.485599697E-3,3.899449366E-4,3.989928402E-3
9.806761250E0,-4.122269806E-3,-2.195984591E-3,2.373389900E-3
9.816807250E0,-6.445247680E-3,2.648780821E-3,6.293700542E-3
9.826853250E0,-7.340991870E-4,-3.607783467E-3,9.279636433E-4
9.836899250E0,-6.940523162E-3,-1.847676001E-3,-1.608870691E-3
9.846945250E0,-1.107641309E-2,5.395816988E-4,-3.002502723E-3
9.856992250E0,-5.433803890E-3,-1.251869020E-3,-2.475067973E-3
9.867038250E0,-6.264976691E-3,-1.660664217E-3,1.068664715E-4
9.877084250E0,-9.881161153E-3,1.073588210E-4,-2.433709335E-3
9.887130250E0,-6.199874450E-3,-3.884872058E-5,-3.057688009E-3
