"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.364623333E0,1.159937897E0,1.193019104E0,1.022763153E1
1.374644333E0,9.571096802E-1,1.463356934E0,9.724228363E0
1.384665333E0,3.878434753E-1,1.321002960E0,9.884395294E0
1.394686333E0,3.071612549E-1,1.684596863E0,1.027343628E1
1.404707333E0,1.639091492E-1,2.532284088E0,1.042581940E1
1.414728333E0,-1.242416382E-1,-7.649093628E-2,1.001597168E1
1.424749333E0,2.463876343E-1,8.861572266E-2,9.874964905E0
1.434770333E0,6.387217712E-1,1.522933044E0,9.326505432E0
1.444791333E0,1.992356873E-1,1.264570312E0,9.056466980E0
1.454812333E0,2.267784119E-1,7.761360168E-1,9.054221649E0
1.464833333E0,4.480183411E-1,7.607180786E-1,8.751850433E0
1.474855333E0,2.983296204E-1,8.210426331E-1,8.493787079E0
1.484876333E0,2.441423035E-1,9.702822876E-1,8.761729889E0
1.494897333E0,2.528242493E-1,1.181942139E0,9.354048157E0
1.504918333E0,4.581971741E-1,1.200353851E0,1.014650024E1
1.514939333E0,3.231779480E-1,1.483864288E0,1.068942123E1
1.524960333E0,2.433938599E-1,1.497785339E0,1.140807678E1
1.534981333E0,8.400531006E-1,1.225800934E0,1.068672684E1
1.545002333E0,1.238823853E0,8.722361755E-1,9.914931793E0
1.555023333E0,1.189276886E0,1.283431091E0,1.051653076E1
1.565044333E0,1.418899384E0,1.253643036E0,1.020248383E1
1.575065333E0,1.919159088E0,9.846524048E-1,1.012674133E1
1.585086333E0,1.572480011E0,1.119222565E0,1.031954041E1
1.595108333E0,1.334025879E0,1.253193970E0,1.068762497E1
1.605129333E0,1.877545624E0,7.903564453E-2,1.089958420E1
1.615150333E0,2.094743958E0,9.409432983E-1,1.056383240E1
1.625171333E0,1.511257324E0,2.350112915E-2,9.486522675E0
1.635192333E0,1.767823792E0,-9.548643494E-1,8.782985687E0
1.645213333E0,1.184037781E0,-9.539662170E-1,9.790690155E0
1.655234333E0,1.318757629E-1,3.495231628E-1,9.622889099E0
1.665255333E0,-1.047371979E0,2.373015289E0,7.596103821E0
1.675276333E0,-1.642534332E0,4.841981049E0,7.045997772E0
1.685297333E0,-2.959346008E-1,4.665048981E0,7.554340668E0
1.695318333E0,1.495989075E0,1.934726715E0,8.988208923E0
1.705340333E0,2.024539948E0,1.187181244E0,1.061008621E1
1.715361333E0,1.651066589E0,1.505718842E0,1.045231430E1
1.725382333E0,6.268963623E-1,1.789528656E0,9.796677704E0
1.735403333E0,-8.412506104E-2,1.222507782E0,9.132059784E0
1.745424333E0,5.194198608E-2,7.988887024E-1,9.100325775E0
1.755445333E0,6.957531738E-1,1.736089783E0,9.225016479E0
