"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
5.196577500E-1,9.460245160E-1,1.762526467E-1,-4.670548852E-2,-2.679388324E-1,3.782151834E1,2.100894564E1,3.484053123E-1,-3.156241109E1
5.296767500E-1,9.459851930E-1,1.762982443E-1,-4.691197120E-2,-2.680116200E-1,3.783541947E1,2.102055685E1,3.291027996E-1,-3.157536725E1
5.396957500E-1,9.459538989E-1,1.762984129E-1,-4.712835312E-2,-2.680841337E-1,3.784647875E1,2.102739153E1,3.072853725E-1,-3.158852380E1
5.497147500E-1,9.459429407E-1,1.762496121E-1,-4.729352135E-2,-2.681256062E-1,3.785035063E1,2.102712702E1,2.887789881E-1,-3.159695459E1
5.597337499E-1,9.459517705E-1,1.761726572E-1,-4.737437482E-2,-2.681309377E-1,3.784723082E1,2.102105254E1,2.777098400E-1,-3.159934423E1
5.697537500E-1,9.459691350E-1,1.760606361E-1,-4.738598100E-2,-2.681413059E-1,3.784109472E1,2.100885339E1,2.731246785E-1,-3.160083730E1
5.797727500E-1,9.459774801E-1,1.759659164E-1,-4.733936132E-2,-2.681819354E-1,3.783814548E1,2.099674248E1,2.760418538E-1,-3.160461149E1
5.897917500E-1,9.459772904E-1,1.759283635E-1,-4.722480619E-2,-2.682274751E-1,3.783821251E1,2.098889435E1,2.882249475E-1,-3.160748697E1
5.998107500E-1,9.459697672E-1,1.759154086E-1,-4.712251052E-2,-2.682806855E-1,3.784087130E1,2.098419098E1,3.000291296E-1,-3.161152141E1
6.098297500E-1,9.459513490E-1,1.759279210E-1,-4.709276011E-2,-2.683425149E-1,3.784737974E1,2.098463391E1,3.049846753E-1,-3.161811830E1
6.198487499E-1,9.459332680E-1,1.759457965E-1,-4.712577690E-2,-2.683888343E-1,3.785376798E1,2.098766999E1,3.029868892E-1,-3.162424991E1
6.298677500E-1,9.459236375E-1,1.759700046E-1,-4.716896161E-2,-2.683992235E-1,3.785717015E1,2.099174795E1,2.993118614E-1,-3.162638921E1
6.398867500E-1,9.459211298E-1,1.759712216E-1,-4.718230636E-2,-2.684049344E-1,3.785805601E1,2.099230520E1,2.980314899E-1,-3.162734525E1
6.499057500E-1,9.459214459E-1,1.759452486E-1,-4.712541865E-2,-2.684310022E-1,3.785794435E1,2.098758501E1,3.039229088E-1,-3.162918185E1
6.599247500E-1,9.459168097E-1,1.758961897E-1,-4.700799753E-2,-2.685000388E-1,3.785958202E1,2.097834556E1,3.165583510E-1,-3.163475465E1
6.699437500E-1,9.459130797E-1,1.758203359E-1,-4.685223331E-2,-2.685900012E-1,3.786089955E1,2.096487986E1,3.329412229E-1,-3.164196499E1
6.799627500E-1,9.459185377E-1,1.757222496E-1,-4.666646054E-2,-2.686669824E-1,3.785897162E1,2.094797320E1,3.515801607E-1,-3.164702088E1
6.899827500E-1,9.459323830E-1,1.755941548E-1,-4.646639999E-2,-2.687368408E-1,3.785408067E1,2.092725411E1,3.706542506E-1,-3.165095704E1
7.000017500E-1,9.459464179E-1,1.754767864E-1,-4.623727918E-2,-2.688037279E-1,3.784912209E1,2.090681901E1,3.931467535E-1,-3.165392786E1
7.100207500E-1,9.459533299E-1,1.754195141E-1,-4.602264109E-2,-2.688537141E-1,3.784667980E1,2.089358759E1,4.156177515E-1,-3.165521579E1
7.200397500E-1,9.459449216E-1,1.754346132E-1,-4.586525422E-2,-2.688999702E-1,3.784965074E1,2.089028128E1,4.341179978E-1,-3.165726411E1
