"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.753258625E0,5.748046875E-2,3.534450073E0,8.995393982E0
1.763277625E0,6.780899048E-2,3.576662292E0,8.946296082E0
1.773296625E0,6.960525513E-2,3.633544006E0,8.932225342E0
1.783315625E0,7.768844604E-2,3.675456848E0,8.956175537E0
1.793334625E0,7.903564453E-2,3.712280273E0,9.027726746E0
1.803353625E0,7.753875732E-2,3.750301208E0,9.114546204E0
1.813372625E0,9.131011963E-2,3.730691986E0,9.206455078E0
1.823391625E0,8.487350464E-2,3.733835449E0,9.279203796E0
1.833410625E0,8.487350464E-2,3.753744049E0,9.320218506E0
1.843429625E0,6.795867920E-2,3.714974670E0,9.313632202E0
1.853448625E0,6.331832886E-2,3.675157471E0,9.265432434E0
1.863468625E0,7.409591675E-2,3.647914124E0,9.208101654E0
1.873487625E0,1.017883301E-1,3.650009766E0,9.116192780E0
1.883506625E0,1.401086426E-1,3.689377899E0,9.075776825E0
1.893525625E0,2.095642090E-2,3.498674469E0,9.049880676E0
1.903544625E0,9.116043091E-2,3.476221161E0,9.043444061E0
1.913563625E0,1.213975525E-1,3.498674469E0,9.042246552E0
1.923582625E0,1.070274353E-1,3.545676727E0,9.082662506E0
1.933601625E0,1.228944397E-1,3.601809998E0,9.212143250E0
1.943620625E0,1.016386414E-1,3.712579651E0,9.267528076E0
1.953639625E0,9.325607300E-2,3.737128601E0,9.309889984E0
1.963658625E0,6.975494385E-2,3.721411285E0,9.298513641E0
1.973677625E0,2.005828857E-1,3.854634247E0,9.270222473E0
1.983697625E0,-8.427474976E-2,3.535946960E0,9.235345001E0
1.993716625E0,-1.118174744E-1,3.502416687E0,9.138346710E0
2.003735625E0,7.185058594E-3,3.583248596E0,9.084458771E0
2.013754625E0,4.700225830E-2,3.556604004E0,9.092841339E0
2.023773625E0,5.104385376E-2,3.612138519E0,9.126970367E0
2.033792625E0,5.613327026E-2,3.622766418E0,9.167386322E0
2.043811625E0,9.310638428E-2,3.599864044E0,9.181756439E0
2.053830625E0,2.520758057E-1,3.770958252E0,9.130413208E0
2.063849625E0,7.364685059E-2,3.552712097E0,9.251810760E0
2.073868625E0,-8.487350464E-2,3.316503296E0,9.294621735E0
2.083888125E0,-3.005749512E-1,3.412453766E0,9.392817535E0
2.093907125E0,1.660047913E-1,3.558999023E0,9.208251343E0
2.103927125E0,3.606001282E-1,3.516038361E0,9.062155151E0
2.113946125E0,1.986369324E-1,3.648213501E0,9.104217682E0
2.123965125E0,1.547781372E-1,3.681444397E0,9.195827179E0
2.133984125E0,1.564247131E-1,3.636687469E0,9.166637878E0
2.144003125E0,1.312770081E-1,3.596720581E0,9.138496399E0
2.154022125E0,9.879455566E-2,3.600612488E0,9.145831146E0
2.164041125E0,6.631210327E-2,3.638932800E0,9.150022430E0
2.174060125E0,5.957611084E-2,3.617527313E0,9.191037140E0
2.184079125E0,6.212081909E-2,3.610192566E0,9.191785583E0
2.194098125E0,6.451583862E-2,3.623215485E0,9.223968658E0
2.204117125E0,8.786727905E-2,3.643423462E0,9.217382355E0
2.214137125E0,1.007405090E-1,3.615132294E0,9.178463287E0
2.224156125E0,8.592132568E-2,3.590283966E0,9.125772858E0
2.234175125E0,4.146377563E-2,3.654350739E0,9.102571106E0
